sepal.length,sepal.width,petal.length,petal.width,variety_true,prediction
5.1,3.5,1.4,0.2,Setosa,Setosa
4.9,3.0,1.4,0.2,Setosa,Setosa
4.7,3.2,1.3,0.2,Setosa,Setosa
4.6,3.1,1.5,0.2,Setosa,Setosa
5.0,3.6,1.4,0.2,Setosa,Setosa
5.4,3.9,1.7,0.4,Setosa,Setosa
4.6,3.4,1.4,0.3,Setosa,Setosa
5.0,3.4,1.5,0.2,Setosa,Setosa
4.4,2.9,1.4,0.2,Setosa,Setosa
4.9,3.1,1.5,0.1,Setosa,Setosa
5.4,3.7,1.5,0.2,Setosa,Setosa
4.8,3.4,1.6,0.2,Setosa,Setosa
4.8,3.0,1.4,0.1,Setosa,Setosa
4.3,3.0,1.1,0.1,Setosa,Setosa
5.8,4.0,1.2,0.2,Setosa,Setosa
5.7,4.4,1.5,0.4,Setosa,Setosa
5.4,3.9,1.3,0.4,Setosa,Setosa
5.1,3.5,1.4,0.3,Setosa,Setosa
5.7,3.8,1.7,0.3,Setosa,Setosa
5.1,3.8,1.5,0.3,Setosa,Setosa
5.4,3.4,1.7,0.2,Setosa,Setosa
5.1,3.7,1.5,0.4,Setosa,Setosa
4.6,3.6,1.0,0.2,Setosa,Setosa
5.1,3.3,1.7,0.5,Setosa,Setosa
4.8,3.4,1.9,0.2,Setosa,Setosa
5.0,3.0,1.6,0.2,Setosa,Setosa
5.0,3.4,1.6,0.4,Setosa,Setosa
5.2,3.5,1.5,0.2,Setosa,Setosa
5.2,3.4,1.4,0.2,Setosa,Setosa
4.7,3.2,1.6,0.2,Setosa,Setosa
4.8,3.1,1.6,0.2,Setosa,Setosa
5.4,3.4,1.5,0.4,Setosa,Setosa
5.2,4.1,1.5,0.1,Setosa,Setosa
5.5,4.2,1.4,0.2,Setosa,Setosa
4.9,3.1,1.5,0.2,Setosa,Setosa
5.0,3.2,1.2,0.2,Setosa,Setosa
5.5,3.5,1.3,0.2,Setosa,Setosa
4.9,3.6,1.4,0.1,Setosa,Setosa
4.4,3.0,1.3,0.2,Setosa,Setosa
5.1,3.4,1.5,0.2,Setosa,Setosa
5.0,3.5,1.3,0.3,Setosa,Setosa
4.5,2.3,1.3,0.3,Setosa,Setosa
4.4,3.2,1.3,0.2,Setosa,Setosa
5.0,3.5,1.6,0.6,Setosa,Setosa
5.1,3.8,1.9,0.4,Setosa,Setosa
4.8,3.0,1.4,0.3,Setosa,Setosa
5.1,3.8,1.6,0.2,Setosa,Setosa
4.6,3.2,1.4,0.2,Setosa,Setosa
5.3,3.7,1.5,0.2,Setosa,Setosa
5.0,3.3,1.4,0.2,Setosa,Setosa
7.0,3.2,4.7,1.4,Versicolor,Versicolor
6.4,3.2,4.5,1.5,Versicolor,Versicolor
6.9,3.1,4.9,1.5,Versicolor,Versicolor
5.5,2.3,4.0,1.3,Versicolor,Versicolor
6.5,2.8,4.6,1.5,Versicolor,Versicolor
5.7,2.8,4.5,1.3,Versicolor,Versicolor
6.3,3.3,4.7,1.6,Versicolor,Versicolor
4.9,2.4,3.3,1.0,Versicolor,Versicolor
6.6,2.9,4.6,1.3,Versicolor,Versicolor
5.2,2.7,3.9,1.4,Versicolor,Versicolor
5.0,2.0,3.5,1.0,Versicolor,Versicolor
5.9,3.0,4.2,1.5,Versicolor,Versicolor
6.0,2.2,4.0,1.0,Versicolor,Versicolor
6.1,2.9,4.7,1.4,Versicolor,Versicolor
5.6,2.9,3.6,1.3,Versicolor,Versicolor
6.7,3.1,4.4,1.4,Versicolor,Versicolor
5.6,3.0,4.5,1.5,Versicolor,Versicolor
5.8,2.7,4.1,1.0,Versicolor,Versicolor
